"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC","grupo"
"08001",2,1,3,3,8202,1,1,1,NA,0,"08"
"08001",1,1,1,7,8223,1,1,1,NA,0,"08"
"08001",2,1,3,3,8227,1,1,1,NA,0,"08"
"08001",2,1,1,6,8259,1,1,1,NA,0,"08"
"08001",1,1,1,4,8285,1,1,1,NA,0,"08"
"08001",1,1,3,5,8500,1,1,1,NA,0,"08"
"08001",2,1,3,3,8552,1,1,1,NA,0,"08"
"08001",2,1,3,5,8589,1,1,1,NA,0,"08"
"08001",2,1,3,2,8593,1,1,1,NA,0,"08"
"08001",1,1,3,5,8627,1,1,1,NA,0,"08"
"08001",1,1,4,6,8641,1,1,1,NA,0,"08"
"08001",1,1,4,3,8680,1,1,1,NA,0,"08"
"08001",2,1,3,2,8687,1,1,1,NA,0,"08"
"08001",2,1,4,3,8702,1,1,1,NA,0,"08"
"08001",2,1,3,3,8755,1,1,1,NA,0,"08"
"08001",1,1,1,7,8807,1,1,1,NA,0,"08"
"08001",1,1,1,1,8896,1,1,1,NA,0,"08"
"08001",2,1,1,7,8930,1,1,1,NA,0,"08"
"08001",2,1,1,3,8941,1,1,1,NA,0,"08"
"08001",2,1,3,5,8958,1,1,1,NA,0,"08"
"08001",2,1,1,3,8973,1,1,1,NA,0,"08"
"08001",2,1,1,3,9003,1,1,1,NA,0,"08"
"08433",1,1,2,3,9235,1,1,1,NA,0,"08"
"08001",2,1,1,5,9249,1,1,1,NA,0,"08"
"08001",2,1,1,5,9276,1,1,1,NA,0,"08"
"08433",1,1,2,7,9277,1,1,1,NA,0,"08"
"08001",2,1,1,3,9283,1,1,1,NA,0,"08"
"08001",2,1,1,4,9307,1,1,1,NA,0,"08"
"08433",1,1,2,4,9329,1,1,1,NA,0,"08"
"08001",1,1,1,2,9331,1,1,1,NA,0,"08"
"08433",2,1,2,3,9354,1,1,1,NA,0,"08"
"08001",2,1,1,5,9355,1,1,1,NA,0,"08"
"08001",2,1,1,4,9367,1,1,1,NA,0,"08"
"08001",2,1,3,2,9370,1,1,1,NA,0,"08"
"08433",1,1,2,5,9396,1,1,1,NA,0,"08"
