"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
6809,3,1,5001,NA,5,1,1,4,9,3,1,1,2,49,1
6826,3,2,5266,3,5,1,1,5,9,7,1,1,2,33,7
6826,3,2,5266,3,5,1,1,5,9,7,1,1,1,27,1
6927,3,2,5001,4,5,1,1,5,9,5,1,1,2,90,1
6927,3,2,5001,4,5,1,1,5,9,5,1,1,1,60,3
6927,3,2,5001,4,5,1,1,5,9,5,1,1,2,85,7
7162,3,2,5380,3,5,1,1,4,9,5,1,1,2,19,3
7162,3,2,5380,3,5,1,1,4,9,5,1,1,1,49,1
7162,3,2,5380,3,5,1,1,4,9,5,1,1,2,12,3
7162,3,2,5380,3,5,1,1,4,9,5,1,1,2,29,2
7445,3,1,5380,3,5,2,3,4,9,5,NA,NA,1,60,1
7445,3,1,5380,3,5,2,3,4,9,5,NA,NA,2,58,2
7445,3,1,5380,3,5,2,3,4,9,5,NA,NA,1,17,3
7487,3,2,5001,5,5,1,1,4,9,7,1,1,1,51,1
7560,3,1,5001,4,5,2,3,5,9,7,1,1,1,26,3
7560,3,1,5001,4,5,2,3,5,9,7,1,1,1,28,3
7560,3,1,5001,4,5,2,3,5,9,7,1,1,1,64,1
7560,3,1,5001,4,5,2,3,5,9,7,1,1,2,60,2
7571,3,2,5001,3,5,2,4,4,9,4,1,2,1,36,1
7571,3,2,5001,3,5,2,4,4,9,4,1,2,2,21,2
7572,1,1,5001,3,5,1,1,3,5,4,1,1,2,3,3
7572,1,1,5001,3,5,1,1,3,5,4,1,1,1,23,1
7572,1,1,5001,3,5,1,1,3,5,4,1,1,2,19,2
7617,2,1,5001,5,5,2,3,4,9,7,1,2,2,21,3
7617,2,1,5001,5,5,2,3,4,9,7,1,2,1,31,3
7617,2,1,5001,5,5,2,3,4,9,7,1,2,1,19,3
7617,2,1,5001,5,5,2,3,4,9,7,1,2,2,55,2
7617,2,1,5001,5,5,2,3,4,9,7,1,2,1,51,1
7637,3,2,5001,3,5,1,8,4,9,6,2,1,1,25,3
7637,3,2,5001,3,5,1,8,4,9,6,2,1,1,31,3
7637,3,2,5001,3,5,1,8,4,9,6,2,1,2,67,1
7637,3,2,5001,3,5,1,8,4,9,6,2,1,1,43,2
7637,3,2,5001,3,5,1,8,4,9,6,2,1,1,12,3
7667,2,1,5001,5,5,2,3,4,9,4,1,1,1,20,3
7667,2,1,5001,5,5,2,3,4,9,4,1,1,2,56,1
7687,3,2,5001,3,5,1,1,4,5,6,1,2,1,13,3
7687,3,2,5001,3,5,1,1,4,5,6,1,2,2,49,2
7687,3,2,5001,3,5,1,1,4,5,6,1,2,2,26,3
7687,3,2,5001,3,5,1,1,4,5,6,1,2,1,49,1
7727,2,1,5001,4,5,1,1,5,9,8,2,1,1,38,7
7727,2,1,5001,4,5,1,1,5,9,8,2,1,1,38,1
7750,3,1,5001,2,5,1,1,4,9,5,1,1,1,43,3
7750,3,1,5001,2,5,1,1,4,9,5,1,1,2,68,1
7771,3,2,5001,5,5,1,1,5,9,8,1,1,2,46,2
7771,3,2,5001,5,5,1,1,5,9,8,1,1,1,11,3
7771,3,2,5001,5,5,1,1,5,9,8,1,1,2,85,6
7771,3,2,5001,5,5,1,1,5,9,8,1,1,2,12,3
7771,3,2,5001,5,5,1,1,5,9,8,1,1,1,53,1
7795,3,2,5001,5,5,1,1,4,9,6,1,2,1,81,1
7795,3,2,5001,5,5,1,1,4,9,6,1,2,2,55,3
7864,3,2,5001,2,5,1,1,5,9,4,1,1,1,30,3
7864,3,2,5001,2,5,1,1,5,9,4,1,1,2,83,2
7864,3,2,5001,2,5,1,1,5,9,4,1,1,2,59,1
7877,3,1,5001,2,5,2,2,5,9,4,1,1,2,43,1
7877,3,1,5001,2,5,2,2,5,9,4,1,1,1,22,3
7921,3,2,5001,2,5,1,1,1,9,5,1,2,1,21,1
7921,3,2,5001,2,5,1,1,1,9,5,1,2,2,18,2
7989,3,1,5001,3,5,1,1,5,9,6,1,1,1,58,1
8019,3,2,5001,3,5,1,6,4,9,6,1,2,2,27,3
8019,3,2,5001,3,5,1,6,4,9,6,1,2,2,65,2
8019,3,2,5001,3,5,1,6,4,9,6,1,2,1,73,1
8020,3,2,5001,3,5,1,8,5,9,5,1,1,1,52,1
8020,3,2,5001,3,5,1,8,5,9,5,1,1,2,50,2
8020,3,2,5001,3,5,1,8,5,9,5,1,1,1,21,3
8107,3,2,5001,2,5,1,1,4,9,6,1,1,2,19,3
8107,3,2,5001,2,5,1,1,4,9,6,1,1,1,41,1
8107,3,2,5001,2,5,1,1,4,9,6,1,1,1,17,3
8107,3,2,5001,2,5,1,1,4,9,6,1,1,2,40,2
8146,3,2,5001,3,5,1,1,4,9,6,1,1,1,30,1
8365,3,2,5001,3,5,1,1,3,9,6,1,2,2,50,2
