"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
45359,3,1,76001,1,2,1,4,9,5,1,1,1,18,3
45359,3,1,76001,1,2,1,4,9,5,1,1,1,62,1
45359,3,1,76001,1,2,1,4,9,5,1,1,2,53,2
45379,3,2,76520,3,1,8,5,9,5,1,1,1,8,5
45379,3,2,76520,3,1,8,5,9,5,1,1,1,45,3
45379,3,2,76520,3,1,8,5,9,5,1,1,1,11,5
45379,3,2,76520,3,1,8,5,9,5,1,1,2,33,4
45379,3,2,76520,3,1,8,5,9,5,1,1,2,67,1
45503,3,1,76111,2,1,1,5,9,5,1,1,1,20,3
45503,3,1,76111,2,1,1,5,9,5,1,1,2,50,1
45794,3,1,76001,2,1,1,4,9,5,1,1,1,24,3
45794,3,1,76001,2,1,1,4,9,5,1,1,2,42,2
45794,3,1,76001,2,1,1,4,9,5,1,1,2,9,3
45794,3,1,76001,2,1,1,4,9,5,1,1,1,49,1
45827,9,2,76111,2,1,1,4,9,4,1,1,2,72,2
45827,9,2,76111,2,1,1,4,9,4,1,1,1,61,1
46071,3,2,76834,2,1,4,4,9,5,1,1,1,25,3
46071,3,2,76834,2,1,4,4,9,5,1,1,1,34,3
46071,3,2,76834,2,1,4,4,9,5,1,1,2,67,1
46071,3,2,76834,2,1,4,4,9,5,1,1,2,24,3
46423,3,2,76001,3,2,3,4,5,7,1,2,2,18,7
46423,3,2,76001,3,2,3,4,5,7,1,2,1,19,1
46614,3,2,76001,4,1,1,5,9,7,1,1,2,67,10
46614,3,2,76001,4,1,1,5,9,7,1,1,1,57,1
46614,3,2,76001,4,1,1,5,9,7,1,1,1,25,3
46614,3,2,76001,4,1,1,5,9,7,1,1,2,60,2
46725,3,2,76001,3,2,1,4,5,7,1,1,1,29,3
46725,3,2,76001,3,2,1,4,5,7,1,1,1,53,1
46725,3,2,76001,3,2,1,4,5,7,1,1,1,8,5
46725,3,2,76001,3,2,1,4,5,7,1,1,2,49,2
46763,3,2,76001,3,1,1,4,9,8,1,1,2,22,3
46763,3,2,76001,3,1,1,4,9,8,1,1,2,50,1
46763,3,2,76001,3,1,1,4,9,8,1,1,1,45,2
46793,3,2,76001,3,1,1,3,9,5,1,1,2,65,2
46793,3,2,76001,3,1,1,3,9,5,1,1,1,69,1
46793,3,2,76001,3,1,1,3,9,5,1,1,1,60,10
46800,3,2,76001,2,1,1,4,9,5,1,1,2,24,3
46800,3,2,76001,2,1,1,4,9,5,1,1,1,49,8
46800,3,2,76001,2,1,1,4,9,5,1,1,1,58,1
46903,3,2,76001,1,2,4,4,5,5,1,2,1,30,1
46903,3,2,76001,1,2,4,4,5,5,1,2,2,2,3
46903,3,2,76001,1,2,4,4,5,5,1,2,2,34,2
46903,3,2,76001,1,2,4,4,5,5,1,2,1,5,3
46936,3,2,76001,1,2,4,4,9,3,1,1,1,44,10
46936,3,2,76001,1,2,4,4,9,3,1,1,1,33,8
46936,3,2,76001,1,2,4,4,9,3,1,1,2,54,7
46936,3,2,76001,1,2,4,4,9,3,1,1,1,65,1
46936,3,2,76001,1,2,4,4,9,3,1,1,2,36,8
