"D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","DIRECTORIO"
9,3,2,6,604,1,1,471
5,6,2,5,511,1,2,472
9,6,0,5,512,1,2,473
5,2,4,5,513,1,2,475
9,3,3,5,511,1,2,476
9,6,0,5,511,1,1,477
9,6,3,5,511,1,2,478
5,6,0,4,408,NA,NA,479
9,3,2,7,705,1,2,480
9,6,0,5,511,1,1,481
9,6,1,8,806,1,2,482
9,2,2,3,305,1,2,484
9,3,2,4,409,1,2,485
9,3,3,6,603,1,2,486
9,3,2,3,305,1,1,487
5,2,2,7,705,1,2,488
5,2,1,6,602,1,2,489
1,6,0,5,510,1,2,490
5,3,4,3,305,1,2,492
9,2,3,3,305,1,2,493
9,6,1,6,606,1,2,494
9,6,0,4,408,NA,NA,496
9,6,0,5,513,1,2,498
5,3,2,5,511,1,2,499
9,2,1,5,511,1,1,500
5,6,10,3,304,1,2,501
9,2,2,5,511,1,2,502
5,2,0,5,510,1,1,505
1,6,3,6,602,1,2,506
1,2,4,3,303,1,1,507
9,2,2,4,407,1,1,508
9,6,0,8,803,1,2,509
9,6,0,5,511,1,2,510
9,5,2,6,602,1,2,511
5,5,2,5,511,1,2,512
9,6,0,5,511,1,1,513
9,2,3,6,603,1,1,514
9,6,1,5,511,1,1,515
5,5,2,3,302,1,2,516
9,6,1,7,705,1,2,517
9,2,4,4,409,1,2,518
5,3,2,5,512,1,2,519
9,5,0,5,511,1,1,520
9,6,0,5,511,1,2,521
9,2,3,5,511,1,2,522
9,6,1,5,512,1,2,523
9,6,0,5,511,NA,NA,524
5,6,0,5,511,NA,NA,526
5,2,2,4,406,1,2,527
5,2,3,5,513,1,1,528
9,6,1,6,604,1,1,529
1,3,2,4,407,1,2,530
9,2,2,3,303,1,2,531
9,6,0,5,511,1,2,532
5,6,1,8,801,1,2,533
5,2,2,7,710,1,2,534
9,6,0,4,407,1,2,535
5,5,1,6,603,1,2,536
9,6,0,8,802,1,2,537
9,6,0,4,406,NA,NA,538
9,6,1,8,801,1,2,539
9,5,2,7,705,1,2,540
9,2,1,6,602,1,2,541
9,1,1,5,511,1,2,542
5,2,1,5,512,1,2,543
9,6,0,3,305,1,1,544
5,2,2,1,100,1,2,545
5,2,2,7,710,1,2,546
9,3,2,5,511,1,2,547
5,2,3,5,511,1,2,548
9,2,5,5,511,1,1,549
9,6,0,5,511,1,2,550
9,6,1,7,705,1,2,551
1,6,0,8,801,1,2,552
5,3,2,5,512,1,2,553
9,3,3,4,400,1,2,554
9,1,1,6,601,1,1,555
9,3,1,8,801,1,1,556
9,3,1,3,305,1,2,557
9,6,0,5,511,1,1,558
5,2,0,5,511,1,2,559
1,6,3,3,305,1,1,560
9,3,3,3,305,1,2,561
9,5,0,5,512,1,2,562
9,6,0,4,408,NA,NA,563
9,6,0,7,704,1,2,564
9,2,3,5,512,1,2,565
9,2,4,7,703,1,2,566
9,1,0,4,408,1,2,567
9,2,1,5,511,1,2,568
9,3,3,3,305,1,1,569
9,6,0,5,510,1,1,570
9,2,2,5,511,1,2,571
9,5,4,5,511,1,2,572
9,3,2,6,602,1,2,573
9,2,3,4,408,1,1,574
5,5,3,6,604,1,1,575
9,3,7,6,602,1,1,576
9,5,3,8,801,1,2,577
9,6,0,7,701,1,2,578
9,6,0,3,305,NA,NA,579
9,6,0,4,408,NA,NA,580
9,5,3,6,604,1,2,581
9,6,0,5,511,1,1,582
5,5,3,5,511,1,2,583
5,6,0,5,511,1,2,584
5,6,2,4,409,1,2,585
9,2,1,5,511,1,1,586
9,3,2,8,802,1,2,587
5,6,0,6,601,1,2,588
5,1,2,5,512,1,2,589
9,1,0,6,602,1,2,590
9,6,0,4,408,NA,NA,591
9,3,4,5,511,1,2,592
9,1,1,7,710,1,2,594
9,3,1,6,603,1,2,595
9,2,1,6,602,1,2,597
9,6,0,3,300,1,1,598
3,5,1,6,602,1,2,599
9,3,3,3,305,1,1,601
9,6,1,6,602,1,2,602
9,6,0,7,705,1,2,603
9,6,0,5,511,1,2,604
5,6,3,4,409,1,1,605
9,6,1,5,510,1,2,606
9,6,0,7,700,1,1,607
9,2,1,5,511,1,1,608
9,6,0,7,705,1,1,610
9,6,0,3,305,NA,NA,611
9,3,4,7,710,1,2,612
9,5,3,4,408,1,2,613
9,6,2,6,602,1,2,614
5,6,0,5,510,1,1,615
1,2,2,5,511,1,2,616
9,6,0,5,513,1,1,617
9,2,3,3,305,1,1,618
9,2,1,7,705,1,1,621
5,2,3,1,100,1,2,622
2,3,3,5,511,1,2,623
9,6,3,6,602,3,2,624
