"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","L_01","L_02","L_03","L_04","L_05","L_06","L_07","L_08","L_08_VALOR","L_08_TEXTO","L_09_A","L_09_B","L_09_C","L_09_D","L_09_E","L_09_F","L_09_G","L_09_H","L_09_I","L_10","L_10_A","L_10_B","L_11_A","L_11_B","L_11_C","L_11_D","L_11_E","L_11_F","L_11_G","L_11_H","L_11_I","L_11_J","L_11_K","L_11_L","L_11_M","L_11_N","L_11_O","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y"
52429,"76001",2,1,1,2,1,1,1,NA,1,3,1,4,1,20,1e+05,"20",1,5000,"CINCO MIL",NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2
52654,"76736",1,1,2,3,1,1,1,NA,1,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
52701,"76001",2,1,4,2,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
52825,"76001",2,1,4,3,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
52917,"76001",2,1,3,3,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
52935,"76001",2,1,5,2,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
52959,"76834",2,1,4,5,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
53114,"76147",1,1,1,5,1,1,1,NA,1,3,1,4,2,NA,NA,"01",1,9000,"NUEVE MIL PESOS",NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2
53126,"76147",2,1,1,12,1,1,1,NA,1,3,1,1,2,NA,NA,"01",1,7000,"SIETE MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,1,1,2,2,2,2,2,1,1,1,2,2,3,1,3
53151,"76147",1,1,2,4,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
53168,"76147",1,1,1,2,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
53229,"76892",1,1,1,1,1,1,1,NA,1,3,1,4,1,3,20000,"04",1,5000,"CINCO MIL",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1
53283,"76001",3,1,3,1,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
53463,"76001",2,1,3,4,1,1,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
